id_src;opr_name;opr_nick;inn;bdpn_code;name_brand
9995;Экстренная служба 112;Экстренная служба 112;1129999999;;
9996;Экстренная служба 101;Экстренная служба 101;1019999999;;
9997;Экстренная служба 102;Экстренная служба 102;1029999999;;
9998;Экстренная служба 103;Экстренная служба 103;1039999999;;
9999;Экстренная служба 104;Экстренная служба 104;1049999999;;
10000;Мин.Обороны;Мин.Обороны;7704252261;;
10001;ГУО(Гл.упp.охpаны);ГУО(Гл.упp.охpаны);0000000001;;
10002;ООО "Связьсервис";ООО "Связьсервис";1001054385;;
10003;ООО "Нордлинк ИКС";ООО "Нордлинк ИКС";1001082255;;
10004;ООО "СИТИЛИНК";ООО "СИТИЛИНК";1001137458;;
10005;ФБУ "Администрация "Беломорканал";ФБУ "Администрация "Беломорканал";1013000200;;
10006;АКЦИОНЕРНОЕ ОБЩЕСТВО "АДЫГЕЙСКАЯ ТЕЛЕФОННАЯ КОМПАНИЯ";АО "АТК";0104006670;;
10007;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "Медиагранд";ООО "Медиагранд";0105041847;;
10008;ООО "Сыктывкарский  линейно-технологический узел связи";ООО "Сыктывкарский  линейно-технологический узел связи";1101033572;;
10009;ООО "ПармаТел";ООО "ПармаТел";1101170240;;
10010;ООО "Газпром трансгаз Ухта";ООО "Газпром трансгаз Ухта";1102024468;;
10011;ООО "УПТС-Воркута";ООО "УПТС-Воркута";1103042163;;
10012;ООО "Свифт-Телеком";ООО "Свифт-Телеком";1106022398;;
10013;ООО "НИКА-ЭКО";ООО "НИКА-ЭКО";1215037010;;
10014;ФКУ ЦИТОВ УФСИН по Республике Мордовия";ФКУ ЦИТОВ УФСИН по Республике Мордовия";1308080160;;
10015;ГУП Республики Мордовия "НПЦ информатизации и новых технологий";ГУП Республики Мордовия "НПЦ информатизации и новых технологий";1326188776;;
10016;ООО "Иса телеком";ООО "Иса телеком";1326203791;;
10017;Общество с ограниченной ответственностью "Телеком.ру";Общество с ограниченной ответственностью "Телеком.ру";1326234550;;
10018;ООО "СВЯЗЬТЕЛЕКОМ";ООО "СВЯЗЬТЕЛЕКОМ";1326251940;;
10019;ОАО "Якутуголь";ОАО "Якутуголь";1434026980;;
10020;АО "Дальневосточная генерирующая компания";АО "Дальневосточная генерирующая компания";1434031363;;
10021;ПАО "Якутскэнерго";ПАО "Якутскэнерго";1435028701;;
10022;ООО "Саха Спринт Сеть";ООО "Саха Спринт Сеть";1435141513;;
10023;АО "Аэропорт Якутск";АО "Аэропорт Якутск";1435235578;;
10024;ГБУ РС (Я) "РЦИТ";ГБУ РС (Я) "РЦИТ";1435236532;;
10025;ООО "Восточные Коммуникации";ООО "Восточные Коммуникации";1435302087;;
10026;ООО "Иртелком";ООО "Иртелком";1502024744;;
10027;ООО "М2 Коннект";ООО "М2 Коннект";1513082642;;
10028;ООО "Новые технологии XXI века";ООО "Новые технологии XXI века";1605003947;;
10029;ООО "Связьэнерго";ООО "Связьэнерго";1639028918;;
10030;ООО "Татнефть-АЗС Центр";ООО "Татнефть-АЗС Центр";1644040195;;
10031;ООО "ТатАИСнефть";ООО "ТатАИСнефть";1644056131;;
